motif_name	ln_pvalue	qvalue	perc_target_sequences_with_motif	motif.family
1	JUN-AP1	-90.45	0	25.65	AP-1
2	FOSL2	-81.09	0	29.38	AP-1
3	BATF	-79.57	0	40.75	AP-1
4	FOS	-78.04	0	37.99	AP-1
5	JUNB	-76.06	0	37.18	AP-1
6	FRA1	-76.79	0	36.53	AP-1
7	FRA2	-76.08	0	34.42	AP-1
8	GATA2	-72.43	0	39.12	GATA
9	GATA1	-71.57	0	36.69	GATA
10	ATF3	-71.04	0	40.1	CREB/ATF
11	AP-1	-58.21	0	41.56	AP-1
12	GATA6	-55.75	0	43.83	GATA
13	GATA4	-50.99	0	46.75	GATA
14	BACH2	-47.27	0	18.02	MAF
15	FOXK2	-38.75	0	33.6	FOX
16	GATA3	-36.21	0	56.49	GATA
17	TEAD1	-34.98	0	49.19	TEAD
18	TEAD	-36.51	0	37.99	TEAD
19	TEAD4	-32.44	0	46.1	TEAD
20	FOXO3	-33.33	0	32.95	FOX
21	TRPS1	-31.87	0	65.42	GATA
22	FOXK1	-30.32	0	41.56	FOX
23	TEAD3	-28.1	0	51.14	TEAD
24	FOXF1	-29.11	0	37.5	FOX
25	TEAD2	-28.13	0	32.63	TEAD
26	FOXP1	-25.49	0	21.75	FOX
27	FOXA3	-23.64	0	16.88	FOX
28	FOXL2	-19.77	0	32.63	FOX
29	NF-E2	-19.23	0	5.68	NFE2
30	ZFP281	-18.37	0	18.18	C2H2
31	MAFK	-18.12	0	16.07	MAF
32	NRF2	-18.39	0	5.03	NFE2
33	BACH1	-17.94	0	5.03	MAF
34	FOX:EBOX	-15.38	0	40.26	FOX
35	FOXA2	-14.89	0	30.84	FOX
36	HOXC9	-15.34	0	19.97	HOX
37	FOXA1	-13.39	0	40.42	FOX
38	FOXA1	-13.22	0	35.06	FOX
39	ELK1	-12.06	1e-04	30.03	ETS
40	MAFB	-13.33	0	22.08	MAF
41	FLI1	-9.992	5e-04	49.19	ETS
42	GABPA	-9.518	7e-04	42.69	ETS
43	EWS:ERG-FUSION	-9.399	8e-04	32.79	ETS
44	ELK4	-9.731	6e-04	28.41	ETS
45	HAND2	-11.25	1e-04	28.08	BHLH
46	GATA:SCL	-9.926	5e-04	7.95	GATA
47	NFE2L2	-10.31	4e-04	3.41	NFE2
48	ETV1	-7.729	0.0033	57.31	ETS
49	SOX3	-7.153	0.0054	53.57	SOX
50	ETV4	-8.253	0.0021	51.14	ETS
51	EBF2	-7.444	0.0042	50.65	COE
52	BMYB	-7.835	0.0031	50.16	MYB
53	ETS1	-7.197	0.0052	46.43	ETS
54	ZIC	-8.445	0.0018	43.51	ZIC
55	ETV2	-8.632	0.0015	43.34	ETS
56	FOXM1	-8.691	0.0015	35.06	FOX
57	SOX4	-8.717	0.0015	33.44	SOX
58	FOXD3	-7.799	0.0031	30.36	FOX
59	EWS:FLI1-FUSION	-8.802	0.0014	28.9	ETS
60	NFKB-P65	-6.92	0.0067	28.73	p65
61	FOXH1	-7.633	0.0036	23.21	FOX
62	ETS1-DISTAL	-8.696	0.0015	16.07	ETS
63	PITX1:EBOX	-7.573	0.0037	8.12	PITX
64	RORG	-8.126	0.0023	5.84	NR1
65	JUND	-8.151	0.0023	5.36	AP-1
66	ERG	-5.898	0.017	62.5	ETS
67	FOXO1	-5.736	0.0189	62.5	FOX
68	RBPJ1	-4.618	0.0494	57.79	IKZF
69	SOX10	-5.769	0.0188	51.46	SOX
70	TCF21	-5.046	0.0337	47.08	BHLH
71	ELF4	-5.686	0.0195	44.97	ETS
72	STAT4	-4.909	0.0382	35.71	STAT5
73	WT1	-5.77	0.0188	35.55	WT1
74	MAFA	-6.225	0.0126	34.74	MAF
75	HOXB13	-6.507	0.0097	33.6	HOX
76	NFAT	-6.896	0.0067	33.12	NFAT
77	PBX2	-5.629	0.0203	25.81	PBX
78	RBPJ:EBOX	-5.355	0.0259	20.94	IKZF
79	ZFP809	-5.277	0.0271	18.02	C2H2
80	SP1	-4.783	0.0428	17.21	Sp/KLF
81	CREB5	-6.52	0.0097	17.05	CREB/ATF
82	ATF2	-4.748	0.0438	16.88	CREB/ATF
83	C-JUN-CRE	-5.334	0.0259	16.23	AP-1
84	EBF	-5.357	0.0259	16.07	EBF
85	CARG	-5.837	0.0178	13.31	MADS
86	RFX1	-5.407	0.025	11.2	RFX
87	MEF2D	-6.198	0.0128	9.09	MEF2
88	NFKB-P65-REL	-5.695	0.0195	4.22	p65
